CategoryID	CategoryName	Count
2021898	Accessories	102
205865	Acidophilus	20
5140047	Action-камера	15
2765675	ADSL оборудование	2
1981649	Adult Books	81
1980449	Adult Catalogs	8
1980650	Adult Costumes	2
1981044	Adult Dolls	134
1980351	Adult DVD	716
1980447	Adult DVD Catalog	3
1980282	Adult Educational DVDs	109
1987690	Adult Flesh Drives	16
1980280	Adult Games	358
1980440	Adult SAMPLES	4
1366327	Airline	3
214685	Alternative	10
2056975	Alternative Dairy Products	283
206277	Amino Acids	19
1386442	ANCHOVIES	19
2324679	ANTIANEMIC/PRE &POST NATAL VIT	1
2380342	ANTIANGINAL DRUGS	2
2303593	ANTIHISTAMINE & ANTIALLERGIES	3
2283960	ANTIHYPERLIPIDEMIC AGENTS	3
2307067	ANTIRHEUMATIC,ANTIINFLAM,ANALG	2
2382109	ANTITUBERCOLOSIS AGENT	3
4884259	APPAREL	2398
5237839	Apple	50
5525744	arduino, raspberi pi и робототехника - наборы и комплекты	8
1389597	ASTRINGENT	28
1728014	Automotive Parts and Accessories	327
5136337	av-ресиверы и усилители	46
1382774	BABY BATH SOAP	36
1382778	BABY OIL, LOTION & COLOGNE	85
1980692	Bachelorette	477
1384121	BACON	25
1384307	BAGS	94
1728979	BANANA CATSUP	16
201452	BAR SUPPLIES AND MIXERS	4
5623652	Barebone-система	55
1377819	BARQUILLOS	112
2279868	BCAA	103
2278902	Beans or Peanut Butter	317
1376611	BIHON, CANTON & MISUA	42
2288206	BISCUITS	737
337189	Biscuits & Confectionary	962
1729316	Biss	116
1980401	Blowout Items	88
1457193	BODY OIL	319
1353121	Bodyart	35
1980215	Bondage	1103
188185	Breakfast Meals	327
4806277	Breakroom & Cleaning Supplies	1594
1385916	BREWED & BEANS COFFEE	38
1362666	BRUSHES & CLEANING PADS	122
1980358	Bulk Items	32
2013123	Butt plug	371
2562597	Buttermilk	17
2277397	Cachaca	9
1729796	CAKE & PASTRIES	29
1585575	CAKE DECORS	73
2020974	Candy, Chocolate & Sweeteners	278
2212017	Car Audio	5
1359440	Car Care	576
2027426	Cask	56
1386105	CATHETERS	15
4807507	Cheese or Tofu	138
181515	Cheesecake	175
2281661	CHEMICALS & GALINECALS	23
2570377	Chemicals, Lubricants, and Cleaners	100
1394317	CHICHARON & FISH/PRAWN CRACKERS	143
207123	Chinese Foods	4
